book_id,author
0,Douglas Adams
1,Umberto Eco
2,Jean M. Auel
3,Stephen King
4,Carl Sagan
5,Robert Ludlum
6,John Kennedy Toole
7,Michael Crichton
8,Ellis Peters
9,Lynne Reid Banks
10,Pat Conroy
11,Howard Zinn
12,J.M. Coetzee
13,Salman Rushdie
14,Jerry Hopkins
15,Ellis Peters
16,Octavia E. Butler
17,Katherine Paterson
18,J.R.R. Tolkien
19,Gene Wolfe
20,Tony Hillerman
21,David D. Burns
22,Diana Wynne Jones
23,Marilynne Robinson
24,Roald Dahl
25,Nadine Gordimer
26,Anthony Burgess
27,Robert K. Massie
28,Ken Follett
29,Suzy McKee Charnas
30,Morgan Llywelyn
31,P.D. James
32,Marion Zimmer Bradley
33,Jonathan Carroll
34,Carolly Erickson
35,William Golding
36,Anne Perry
37,Richard  Adams
38,Frank W. Abagnale
39,Robert Munsch
40,Lisa Birnbach
41,Dick Francis
42,Madeleine L'Engle
43,Flannery O'Connor
44,Eudora Welty
45,Donald F. Glut
46,Dean Koontz
47,Assia Djebar
48,Joanna Russ
49,Maxine Hong Kingston
50,Shirley Hazzard
51,Peter Straub
52,Robert B. Parker
53,Judy Blume
54,Nadine Gordimer
55,Harry Patterson
56,Judi Barrett
57,V.C. Andrews
58,Tanith Lee
59,Jane Langton
60,Mordecai Richler
61,Anita Desai
62,Paula Danziger
63,Walter Tevis
64,William Manchester
65,James A. Michener
66,Robyn Davidson
67,Marguerite Yourcenar
68,Hughes Robert
69,Jill Barklem
70,Johanna Hurwitz
71,Arnold Lobel
72,Margaret Truman
73,Jill Barklem
74,Stephen King
75,Roland Barthes
76,Gary Jennings
77,Seamus Heaney
78,Robert A. Heinlein
79,Toni Cade Bambara
80,Ruth Rendell
81,Patricia Moyes
82,Charlotte MacLeod
83,Judith Krantz
84,Marjorie Weinman Sharmat
85,Eric Van Lustbader
86,David A. Adler
87,Muammar Gaddafi
88,Philip K. Dick
89,John Boswell
90,David A. Adler
91,Barbara Brooks Wallace
92,Woody Allen
93,Herman Raucher
94,Donald Lambro
95,Frederik Pohl
96,Gordon Korman
97,Pat Conroy
98,P.F. Kluge
99,MAD Magazine
100,Stephen King
101,John Irving
102,Martin Cruz Smith
103,Thomas  Harris
104,Salman Rushdie
105,Beverly Cleary
106,Shel Silverstein
107,Gabriel García Márquez
108,James Herriot
109,James Clavell
110,Alvin Schwartz
111,Frank Herbert
112,Ellis Peters
113,Ellis Peters
114,Gene Wolfe
115,Chris Van Allsburg
116,Stephen King
117,Astrid Lindgren
118,Mario Vargas Llosa
119,Toni Morrison
120,Robert B. Parker
121,John Updike
122,Elizabeth Peters
123,Gary Chapman
124,Nadine Gordimer
125,Stephen Jay Gould
126,John Crowley
127,Michael Moorcock
128,Nelson DeMille
129,Bernard Cornwell
130,Bernard Cornwell
131,Robert B. Parker
132,Fannie Flagg
