book_id,genre
0,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Classics', 'Science Fiction Fantasy']"
1,"['Fiction', 'Historical Fiction', 'Mystery', 'Classics', 'Historical', 'Literature', 'Italian Literature']"
2,"['Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Classics', 'Adventure', 'Prehistoric']"
3,"['Horror', 'Fiction', 'Thriller', 'Science Fiction', 'Fantasy', 'Paranormal', 'Suspense']"
4,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'History', 'Space', 'Philosophy']"
5,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Espionage', 'Adventure', 'Action']"
6,"['Fiction', 'Humor', 'Literature', 'Comedy', 'Novels', 'Classics', 'American']"
7,"['Fiction', 'Science Fiction', 'Thriller', 'Adventure', 'Horror', 'Mystery', 'Suspense']"
8,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Crime', 'Historical Mystery', 'Medieval']"
9,"['Fantasy', 'Childrens', 'Fiction', 'Young Adult', 'Classics', 'Middle Grade', 'Juvenile']"
10,"['Fiction', 'Classics', 'Romance', 'Southern', 'Contemporary', 'Literary Fiction', 'Literature']"
11,"['History', 'Nonfiction', 'Politics', 'American History', 'Historical', 'Social Justice', 'Classics']"
12,"['Fiction', 'Africa', 'Classics', 'Literature', 'Novels', 'South Africa', 'Historical Fiction']"
13,"['Fiction', 'Magical Realism', 'Classics', 'India', 'Historical Fiction', 'Fantasy', 'Literature']"
14,"['Music', 'Biography', 'Nonfiction', 'Biography Memoir', 'History', 'Memoir', 'Rock N Roll']"
15,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Crime', 'Historical Mystery', 'Medieval']"
16,"['Fantasy', 'Science Fiction', 'Fiction', 'Historical Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Audiobook']"
17,"['Young Adult', 'Fiction', 'Historical Fiction', 'Classics', 'Childrens', 'Middle Grade', 'Realistic Fiction']"
18,"['Fantasy', 'Fiction', 'Classics', 'High Fantasy', 'Epic Fantasy', 'Short Stories', 'Science Fiction Fantasy']"
19,"['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Novels', 'Classics']"
20,"['Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Westerns', 'Audiobook', 'Detective']"
21,"['Psychology', 'Self Help', 'Nonfiction', 'Mental Health', 'Health', 'Personal Development', 'Science']"
22,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Magic', 'Adventure']"
23,"['Fiction', 'Classics', 'Literary Fiction', 'Novels', 'Literature', 'Contemporary', 'American']"
24,"['Childrens', 'Fiction', 'Fantasy', 'Classics', 'Middle Grade', 'Humor', 'Young Adult']"
25,"['Fiction', 'South Africa', 'Africa', 'Historical Fiction', 'Nobel Prize', 'African Literature', 'Literature']"
26,"['Fiction', 'Classics', 'Literature', 'Historical Fiction', 'Novels', 'Religion', 'Literary Fiction']"
27,"['History', 'Biography', 'Nonfiction', 'Russia', 'Russian History', 'Biography Memoir', 'European History']"
28,"['Fiction', 'Historical Fiction', 'Thriller', 'Mystery', 'Espionage', 'Suspense', 'War']"
29,"['Horror', 'Vampires', 'Fantasy', 'Fiction', 'Paranormal', 'Science Fiction', 'Urban Fantasy']"
30,"['Historical Fiction', 'Fiction', 'Ireland', 'Fantasy', 'Historical', 'Irish Literature', 'Medieval']"
31,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'British Literature', 'Suspense']"
32,"['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'High Fantasy', 'Romance', 'Sci Fi Fantasy']"
33,"['Fantasy', 'Fiction', 'Horror', 'Magical Realism', 'Mystery', 'Urban Fantasy', 'Novels']"
34,"['Historical Fiction', 'Fiction', 'Historical', 'Tudor Period', 'British Literature', 'Romance', '16th Century']"
35,"['Fiction', 'Historical Fiction', 'Classics', 'Nobel Prize', 'Historical', 'Literary Fiction', 'Literature']"
36,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical Mystery', 'Historical', 'Victorian', 'Mystery Thriller']"
37,"['Fiction', 'Horror', 'Fantasy', 'Mystery', 'Romance', 'Supernatural', 'Ghosts']"
38,"['Nonfiction', 'Biography', 'Memoir', 'True Crime', 'Crime', 'Audiobook', 'Autobiography']"
39,"['Picture Books', 'Childrens', 'Fantasy', 'Fiction', 'Dragons', 'Fairy Tales', 'Classics']"
40,"['Humor', 'Nonfiction', 'Fashion', 'Comedy', 'Self Help', 'Pop Culture', 'History']"
41,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Horses', 'British Literature']"
42,"['Young Adult', 'Fiction', 'Fantasy', 'Childrens', 'Romance', 'Science Fiction', 'Classics']"
43,"['Nonfiction', 'Biography', 'Writing', 'Memoir', 'Classics', 'Literature', 'Religion']"
44,"['Short Stories', 'Fiction', 'Classics', 'Southern', 'Literature', 'Southern Gothic', 'American']"
